app_id,app_name,review_text,review_score,polarity,textblob_sentiment
226700,Infestation: Survivor Stories 2020,I bought it when it was $25 for a ♥♥♥♥ game.  It's now $1.49 for a ♥♥♥♥ game  Steam didn't refund.  &gt;anger,-1,-0.4,Negative
230410,Warframe,Good game.you can play mission with your friend,1,0.7,Positive
230410,Warframe,"One of the best free games I've played. Highly recommend it. Only things that bother me: - You have to pay the full 75 Platinum price pack for the Starter Color pack. FIrst of all, the basic colors you get without paying should include Black. Second of all, considering that half the pack is unlocked by default, the price should be at most half the price (37~ Platinum), but ideally, credits. - You can only get weapon and Warframe slots by buying them with Platinum. We should at least get a few extra slots from Rank ups.",1,0.09777777777777776,Neutral
230700,La-Mulana,"One of the best games I've ever played in recent memory, and one of the most challenging. Excellent mechanics, ideas and most importantly the incredible amount of mind-bending and incredibly well thought-out puzzles that await you at every turn.   If you're looking to pick up a game that will really challenge you, La-Mulana is a must for you.",1,0.5,Positive
233130,Shadow Warrior,"Review in progress...  Controller support for this game is poor to non functional at best, for example you use the right thumbstick to bring up ironsights when aiming. The Dpad works some of the time, any special moves also only work some of the time. This may be due to the studio having no experience in game controllers which explains why their other titles lack controller support. This quote is from the Devs, ' WTF this is a PC game'. The same complaints are present for mouse and keyboard as well so seem the game is made, but making it playable requires alot of extra work, never a good thing when you are looking for a fun game to play and have to sit in menus for an hour or so fixing what the dev should have done.  The game as of writing this is heavily demanding with an unoptimized engine, in the future if they optimize the engine it may run much smoother for more players with an average setup.  Rating: 2/10 Value: 4.99",-1,-0.06696428571428573,Neutral
233270,Far Cry® 3 Blood Dragon,listen ubisoft ♥♥♥♥ you! i downloaded the game made uplay account for it registered key it worked for the first 2 hours then uplay logged out my account and then i tried to login and tried but it didnt work so now i cant use this cd key for another account on uplay so i basically wasted my 10 bucks,-1,-0.07,Neutral
233270,Far Cry® 3 Blood Dragon,One of my all time favorite games of all time. PowerGlove make the soundtrack What more do you need? Go by this now.,1,0.5,Positive
234080,Castlevania: Lords of Shadow - Ultimate Edition,This is by far one of the best games I have ever played. My reasons:  1. Story heavy and told well. Emotional rollercoaster. 2. Solid brutal combat. 3. Sweeping movie quality soundtrack. 4. Interesting puzzles. 5. Huge epic boss battles. 6. Beautiful storybook environments.  Few minor complaints:  1. Overall quality of the game dips in certain sections (Soundtrack and environments feel very bland and generic) 2. Playing for too long can get boring as once you figure out the games formula which is: explore&gt;puzzle&gt;Boss a little too simple for long sessions.  Reccomended mainly for the touching story and impact :),1,0.044071428571428574,Neutral
234190,Receiver,"Not a good game. Feels like someone's first attempt at...well...everything. It's confusing and difficult, the voice acting is subpar, and the plot is anything BUT immersive. The atmosphere was possibly the only decent thing about this game before I learned the underlying plot, which made it seem ridiculous. I applaud the creator for their efforts and hope to see better works in the future, but for now, steer clear.",-1,-0.09047619047619046,Neutral
236390,War Thunder,"this game used to be fun at lower levels , but later on the differance and unblanced of planes is qwite shocking , ok sure i may not be the best flyer in the world , but i have spent enough time on many flight sims over many years of gaming to know whats right and not . and with the lastest update they did (firestorm) its made it even worse for me to fly at any tier , its basicly a dead game to me now which is a shame after the time i have put into it , the cost of upgrading your pilots skills has more then trippled .  now this may be looked at as just sour grapes for someone who isnt a good flyer , but its not , Gaijin say there game is suposed to be historicaly accurate for a planes proformance yet its far from that , ok some players say but its a game and they cant be accurate and planes need a ballance for fair gameplay to all , well its not that eather when certain nations planes have been given a far better proformance , and some from other nations have been reduced or nerfed to what they should be, so what does this mean? basicly its neither historicaly accurate or ballanced gameplay.",-1,0.1518939393939394,Positive
